date,month,season,district,spice,temperature_c,rainfall_mm,humidity,weather_condition,supply_index,demand_index,market_price_lkr_per_kg
2023-01-05,January,Maha,Matale,Cinnamon,28,240,90,Rainy,0.45,0.82,2150
2023-01-06,January,Maha,Kandy,Cinnamon,27,260,91,Rainy,0.43,0.83,2180
2023-01-07,January,Maha,Kurunegala,Pepper,27,230,88,Rainy,0.48,0.80,1750
2023-01-08,January,Maha,Galle,Clove,27,260,92,Storm,0.38,0.87,3450
2023-01-09,January,Maha,Matale,Nutmeg,26,240,91,Rainy,0.41,0.84,2950
2023-01-10,January,Maha,Kandy,Cardamom,27,250,90,Rainy,0.44,0.86,3650
2023-01-11,January,Maha,Matale,Pepper,27,235,88,Rainy,0.46,0.82,1780

2023-02-05,February,Dry,Matale,Cinnamon,31,40,70,Sunny,0.78,0.70,1820
2023-02-06,February,Dry,Kandy,Cinnamon,30,45,72,Sunny,0.76,0.71,1850
2023-02-07,February,Dry,Kurunegala,Pepper,31,55,70,Sunny,0.73,0.72,1620
2023-02-08,February,Dry,Galle,Clove,29,60,74,Cloudy,0.70,0.76,3300
2023-02-09,February,Dry,Matale,Nutmeg,30,50,72,Sunny,0.72,0.75,2800
2023-02-10,February,Dry,Kandy,Cardamom,29,45,73,Cloudy,0.71,0.76,3500
2023-02-11,February,Dry,Matale,Pepper,30,48,71,Sunny,0.74,0.74,1650

2023-03-05,March,Dry,Matale,Cinnamon,32,60,72,Sunny,0.74,0.73,1880
2023-03-06,March,Dry,Kandy,Cinnamon,31,65,74,Cloudy,0.72,0.75,1900
2023-03-07,March,Dry,Kurunegala,Pepper,32,75,72,Cloudy,0.70,0.75,1660
2023-03-08,March,Dry,Galle,Clove,30,80,75,Cloudy,0.68,0.78,3320
2023-03-09,March,Dry,Matale,Nutmeg,31,70,74,Cloudy,0.69,0.77,2850
2023-03-10,March,Dry,Kandy,Cardamom,30,65,74,Cloudy,0.70,0.78,3550
2023-03-11,March,Dry,Matale,Pepper,31,68,73,Cloudy,0.72,0.77,1680

2023-04-05,April,InterMonsoon,Matale,Cinnamon,30,110,80,Showers,0.64,0.79,1980
2023-04-06,April,InterMonsoon,Kandy,Cinnamon,29,120,82,Showers,0.62,0.80,2010
2023-04-07,April,InterMonsoon,Kurunegala,Pepper,30,110,80,Showers,0.64,0.80,1700
2023-04-08,April,InterMonsoon,Galle,Clove,28,130,84,Rainy,0.60,0.83,3400
2023-04-09,April,InterMonsoon,Matale,Nutmeg,29,125,83,Rainy,0.61,0.82,2900
2023-04-10,April,InterMonsoon,Kandy,Cardamom,28,120,83,Rainy,0.62,0.84,3600
2023-04-11,April,InterMonsoon,Matale,Pepper,29,118,82,Rainy,0.63,0.83,1720

2023-05-05,May,Yala,Matale,Cinnamon,28,210,88,HeavyRain,0.49,0.85,2140
2023-05-06,May,Yala,Kandy,Cinnamon,27,220,89,HeavyRain,0.47,0.86,2170
2023-05-07,May,Yala,Kurunegala,Pepper,28,195,85,Rainy,0.51,0.83,1760
2023-05-08,May,Yala,Galle,Clove,26,240,91,Storm,0.39,0.89,3480
2023-05-09,May,Yala,Matale,Nutmeg,27,220,89,Rainy,0.44,0.87,2980
2023-05-10,May,Yala,Kandy,Cardamom,26,230,90,Rainy,0.43,0.88,3680
2023-05-11,May,Yala,Matale,Pepper,27,205,86,Rainy,0.50,0.85,1780

2023-06-05,June,Yala,Matale,Cinnamon,27,240,90,HeavyRain,0.44,0.88,2200
2023-06-06,June,Yala,Kandy,Cinnamon,26,250,91,HeavyRain,0.42,0.89,2240
2023-06-07,June,Yala,Kurunegala,Pepper,27,235,89,Rainy,0.45,0.86,1820
2023-06-08,June,Yala,Galle,Clove,26,260,92,Storm,0.37,0.90,3520
2023-06-09,June,Yala,Matale,Nutmeg,26,245,91,Rainy,0.41,0.88,3050
2023-06-10,June,Yala,Kandy,Cardamom,25,255,92,Rainy,0.40,0.90,3720
2023-06-11,June,Yala,Matale,Pepper,27,230,89,Rainy,0.44,0.87,1840

2023-07-05,July,Yala,Matale,Cinnamon,27,220,89,Rainy,0.46,0.87,2180
2023-07-06,July,Yala,Kandy,Cinnamon,26,230,90,Rainy,0.44,0.88,2210
2023-07-07,July,Yala,Kurunegala,Pepper,27,210,87,Rainy,0.48,0.85,1790
2023-07-08,July,Yala,Galle,Clove,26,240,91,Storm,0.40,0.88,3500
2023-07-09,July,Yala,Matale,Nutmeg,26,225,90,Rainy,0.43,0.86,3000
2023-07-10,July,Yala,Kandy,Cardamom,25,235,91,Rainy,0.42,0.87,3700
2023-07-11,July,Yala,Matale,Pepper,27,215,88,Rainy,0.47,0.86,1810

2023-08-05,August,Yala,Kurunegala,Cinnamon,28,180,86,Rainy,0.52,0.82,2050
2023-08-06,August,Yala,Kandy,Cinnamon,27,190,87,Rainy,0.50,0.83,2080
