clip_id,audio_path,transcript,duration_seconds,rms_mean,rms_std,f0_mean,f0_std,zcr_mean,spectral_centroid_mean,tempo_proxy,transcript_char_len,transcript_word_count,urgency_count,money_count,secrecy_count,pressure_count,id_avoidance_count,otp_pin_count,decision,label
clip_0618,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0618.wav,"ocean, we are an island, but we have imported rupees 19,000.",5.0,0.02861134400640277,0.028668554890980812,205.1157569594161,8.745459812608543,0.189064,1976.03,110.29,60,11,0,0,0,0,0,0,PROCEED,1
clip_0436,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0436.wav,"So, we have over 2000 millimeters of annual rainfall.",5.0,0.028256472184742323,0.03860123266707609,335.49399390101803,401.69016510317454,0.202428,2048.0,133.93,53,9,0,0,0,0,0,0,PROCEED,1
clip_0350,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0350.wav,that is to have a non-partisan expert tunnel to advise and set,5.0,0.034918,0.036587,165.34,16.3,0.191851,1921.5,156.25,62,12,0,0,0,0,0,0,PROCEED,0
clip_0367,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0367.wav,"quickly digital inventory, land suitability and land utilization plans.",5.0,0.022083281129449284,0.022725743770016314,185.83986633245095,21.413273409909547,0.192094,2038.28,104.17,71,9,0,0,0,0,0,0,PROCEED,1
clip_0278,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0278.wav,"on the ground in topography and climate. Then, as explained earlier, our agriculture...",5.0,0.027937,0.022536,977.14,60.51,0.19869,1925.83,133.93,87,13,0,0,0,0,0,0,PROCEED,0
synthetic_reject_0122,,,3.198356199174432,0.0370821873723708,0.0380024839044705,345.8516702119033,341.949270595326,0.2519528332853414,2139.1825403122148,98.8024734615416,131,17,2,2,3,3,2,0,REJECT,0
clip_0010,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0010.wav,"Actually, this is a very productive system.",5.0,0.01824802132355736,0.02027293622772105,1659.8689350503148,556.6379371054438,0.171328,1741.18,133.93,43,7,0,0,0,0,0,0,PROCEED,1
synthetic_reject_0065,,,4.5180716910777,0.0548256831100226,0.032303105292632,1471.836360260983,543.9510113288944,0.2363996854410894,2231.8102537483096,85.159580665871,45,19,1,2,3,2,1,1,REJECT,0
clip_0586,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0586.wav,"supportive irrigation and riverine system, we are still...",5.0,0.027655422911754237,0.02726927670521253,160.49293827987455,34.61741868441903,0.217957,2079.81,144.23,58,8,0,0,0,0,0,0,PROCEED,1
clip_0486,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0486.wav,solution that I think is a good point to convince the government to let go.,5.0,0.025479,0.024054,597.03,372.36,0.191509,1939.49,156.25,75,15,0,0,0,0,0,0,PROCEED,0
clip_0618,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0618.wav,"ocean, we are an island, but we have imported rupees 19,000.",5.0,0.026661,0.021752,189.36,7.25,0.189064,1976.03,110.29,60,11,0,0,0,0,0,0,PROCEED,0
clip_0614,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0614.wav,all our food and drink expenditure has gone to import other food.,5.0,0.027637532852156033,0.025585264702145692,157.39239202037402,31.219434332238087,0.194504,1956.53,125.0,65,12,0,0,0,0,0,0,PROCEED,1
clip_0428,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0428.wav,"suitable temperature, and 64% of the land is in dry zone when it has",5.0,0.02356,0.016769,960.82,47.3,0.223145,2136.98,104.17,68,14,0,0,0,0,0,0,PROCEED,0
synthetic_verify_0071,,,3.700118443275214,0.0169007743510025,0.0078363513662769,1004.181296269868,488.6292426855172,0.1928505114893385,1505.179803433584,86.58117606905765,34,16,1,0,0,0,0,1,VERIFY,0
